obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
96,5701,0.006313857,14.59410237,86.3562,28.95146072,2.9079337,8.673762843,0.454151431,2.402731994,0.411296649,0.260572918,237.7262192,26.65177748,26.7909,3.535439074,57.09387083,1.499124387,1500,1264.50009,86.3562,99.9812,20.2736,14.7065,1000.03,26.9402,26.7909,100
97,5761,0.006384886,14.59866145,86.3925,29.67791208,2.980780103,8.677060714,0.460616704,2.398661212,0.416529237,0.263939317,237.7255511,26.64230286,26.7967,3.536645476,57.1472108,1.496846955,1500,1264.499388,86.3925,100.028,20.3091,14.6793,999.981,26.9534,26.7967,100
98,5821,0.006373652,14.59775538,86.3549,29.44028092,2.95691793,8.673298766,0.458735149,2.400763082,0.415023242,0.262968895,237.7243577,26.65385829,26.7961,3.536520659,57.03871528,1.499661555,1499.99,1264.49144,86.3549,99.9881,20.2798,14.6599,1000.01,26.9612,26.7961,100
99,5881,0.006408613,14.62368911,86.3536,29.58294596,2.971222136,8.673095919,0.460928798,2.402273638,0.416844221,0.264136209,237.7245248,26.64941482,26.7946,3.536208634,56.96287085,1.501304937,1499.99,1264.491615,86.3536,100.013,20.2605,14.6096,999.999,26.9675,26.7946,100
100,5941,0.006423732,14.64424794,86.3397,29.61930725,2.974846165,8.671618254,0.46214888,2.399203007,0.417791714,0.264749449,237.72612,26.64092236,26.7903,3.535314294,56.94559318,1.501434104,1500,1264.500477,86.3397,100.018,20.2505,14.5865,1000.05,26.9641,26.7903,100
101,6001,0.006425105,14.67043258,86.3017,29.66718822,2.979507724,8.667372851,0.463790192,2.399605665,0.419140393,0.265615227,237.7258852,26.63413937,26.7792,3.533006561,57.03085777,1.496846779,1500,1264.499739,86.3017,100.004,20.2742,14.6089,1000.01,26.9577,26.7792,100
102,6061,0.006436222,14.70860077,86.2732,29.65265127,2.978045449,8.664503835,0.46520936,2.399988064,0.420306451,0.266363774,237.7245926,26.62009783,26.7615,3.529329383,57.00610734,1.495320406,1499.99,1264.492177,86.2732,100.01,20.2528,14.5778,1000.05,26.9471,26.7615,100
103,6121,0.006451913,14.72520074,86.2547,29.7753878,2.99034169,8.662558055,0.467035683,2.402548972,0.421841076,0.267345833,237.7261096,26.60682391,26.7615,3.529329383,57.08677621,1.493483069,1500,1264.500045,86.2547,100.007,20.2713,14.5828,1000.09,26.9384,26.7615,100
104,6181,0.006434106,14.70090735,86.2603,29.89755005,3.002839818,8.663782252,0.46713999,2.408595216,0.422028021,0.267456669,237.7263289,26.59953619,26.7375,3.524348717,57.12240601,1.488859113,1500,1264.500135,86.2603,99.9898,20.2662,14.5932,1000.06,26.9248,26.7375,100
105,6241,0.006495121,14.76034995,86.2313,30.00961542,3.01412763,8.660962172,0.470627948,2.405069504,0.424814965,0.269252859,237.7242533,26.56513541,26.7135,3.519374188,56.90956762,1.493243796,1499.99,1264.49161,86.2313,100.019,20.1728,14.4454,1000.05,26.9099,26.7135,100
106,6301,0.006490998,14.78369687,86.2196,29.96357198,3.009733535,8.660450154,0.471198328,2.399165615,0.42517882,0.269495906,237.725833,26.548653,26.6887,3.514240283,56.87960177,1.491199161,1500,1264.499825,86.2196,100.029,20.1405,14.4161,999.972,26.8929,26.6887,100
107,6361,0.00651492,14.75007213,86.2172,30.21436707,3.034999846,8.660422642,0.472416375,2.401218238,0.426206515,0.270153179,237.7279137,26.52435491,26.6755,3.511510387,56.80420734,1.493180655,1500.01,1264.508565,86.2172,99.998,20.0931,14.3474,999.985,26.8758,26.6755,100
108,6421,0.006527718,14.84481999,86.1576,30.09516275,3.023047842,8.654498697,0.475151556,2.398556261,0.428386939,0.271558879,237.7275274,26.50128427,26.6482,3.505870341,56.83795367,1.488560592,1500.01,1264.508299,86.1576,100.023,20.0828,14.3263,1000.08,26.8571,26.6482,100
109,6481,0.006551442,14.76949166,86.1784,30.43217381,3.056813685,8.656342268,0.475525832,2.402624839,0.428762368,0.271793741,237.7256085,26.47730612,26.6242,3.500918593,56.63798354,1.492726419,1500,1264.499519,86.1784,99.9788,19.9926,14.2143,1000.02,26.84,26.6242,100
110,6541,0.006546908,14.79308829,86.1724,30.36283509,3.049786074,8.655561469,0.475736516,2.402105197,0.428924724,0.271898931,237.7273604,26.45655692,26.6031,3.496570227,56.63331894,1.491151474,1500.01,1264.508124,86.1724,99.9947,19.9654,14.1905,999.944,26.8179,26.6031,100
111,6601,0.006638818,14.8208089,86.1629,30.78247686,3.091908087,8.654526682,0.481009802,2.399421269,0.43316242,0.274627704,237.7260104,26.40771792,26.5906,3.493996405,56.45053196,1.497365061,1500,1264.500432,86.1629,100.017,19.8781,14.0217,999.96,26.7982,26.5906,100
112,6661,0.006610587,14.82108712,86.154,30.45831321,3.059421942,8.653842259,0.477863526,2.403954323,0.430686886,0.273028773,237.7262192,26.39840572,26.5636,3.488442596,56.28947922,1.499708203,1500,1264.50009,86.154,100.005,19.799,13.9675,1000.04,26.7794,26.5636,100
113,6721,0.006589998,14.84152743,86.139,30.42888802,3.056447337,8.652281902,0.478544712,2.395337956,0.431088465,0.273300806,237.726,26.38569216,26.5487,3.485381017,56.43410557,1.493635547,1500,1264.5,86.139,100.008,19.8291,14.0154,999.947,26.7615,26.5487,100
114,6781,0.006556314,14.8039592,86.1488,30.54529207,3.068082153,8.653104223,0.478094212,2.401062458,0.430823555,0.273121271,237.7261096,26.37934116,26.5222,3.479941725,56.52917471,1.486917741,1500,1264.500045,86.1488,99.9807,19.8422,14.0586,1000,26.7438,26.5222,100
115,6841,0.006615476,14.8138319,86.156,30.71406527,3.085165537,8.654195389,0.480167595,2.397377738,0.432442412,0.274168056,237.7244778,26.34268679,26.5051,3.476435777,56.26160911,1.494898653,1499.99,1264.491916,86.156,100.001,19.727,13.8907,1000.03,26.7262,26.5051,100
116,6901,0.006626729,14.87227474,86.1182,30.48733882,3.062365991,8.650326892,0.480372725,2.398238061,0.432624238,0.274283573,237.72759,26.32470841,26.4868,3.472687215,56.1473773,1.496871882,1500.01,1264.508646,86.1182,100.017,19.6702,13.8234,999.99,26.7116,26.4868,100
117,6961,0.006602593,14.83426165,86.1478,30.5440666,3.068067341,8.653309173,0.479230798,2.400915498,0.431744446,0.273713565,237.7262192,26.31913701,26.4844,3.472195863,56.24691945,1.494449877,1500,1264.50009,86.1478,100.01,19.6894,13.8643,1000.04,26.6981,26.4844,100
118,7021,0.006585379,14.86275915,86.0989,30.33045645,3.046587132,8.648330145,0.478642117,2.398510574,0.431223722,0.27338265,237.7259582,26.31277054,26.4683,3.468901273,56.24993852,1.492376003,1500,1264.500518,86.0989,99.9854,19.6774,13.8673,1000.02,26.6867,26.4683,100
119,7081,0.006602895,14.85190068,86.1145,30.53518585,3.067120789,8.649810565,0.47996527,2.406229945,0.432435033,0.274149002,237.7261096,26.30780666,26.4701,3.469269477,56.26937228,1.492131176,1500,1264.500045,86.1145,99.9924,19.6837,13.8583,1000.04,26.6861,26.4701,100
120,7141,0.006605597,14.84968325,86.1187,30.62595813,3.076138091,8.649950225,0.480721086,2.4063826,0.433051685,0.274545225,237.7262192,26.31328836,26.4724,3.469740009,56.30696599,1.490546881,1500,1264.50009,86.1187,99.9947,19.7048,13.8772,1000.05,26.6924,26.4724,100
